1310	729	 what is the album of TOPIC_ENTITY 's artist ?
837	322	 what is the events of TOPIC_ENTITY 's nationality ?
1167	1411 378 1648 601 900	 what is the tracks of TOPIC_ENTITY 's tracks ?
1534	945 1733 351 1104	 what is the TOPIC_ENTITY 's athletes 's teams ?
1310	729	 what is the TOPIC_ENTITY 's artist 's album ?
1226	1128	 what is the TOPIC_ENTITY 's lyricist 's label ?
1519	918	 what is the release of TOPIC_ENTITY 's release ?
1731	576	 what is the artist of TOPIC_ENTITY 's genre ?
899	322	 what is the teams of TOPIC_ENTITY 's nationality ?
1590	1411 1131 1167 750 531	 what is the tracks of TOPIC_ENTITY 's recording ?
1079	1192	 what is the TOPIC_ENTITY 's track 's recording ?
531	1131	 what is the TOPIC_ENTITY 's recording 's recording ?
1432	1027	 what is the TOPIC_ENTITY 's label 's releases ?
1342	1192 1079	 what is the release of TOPIC_ENTITY 's track ?
1079	1192 977 1342 1042	 what is the TOPIC_ENTITY 's track 's recording ?
1572	1411 729 378 1167 1648 777 1630 1145 601 202 900	 what is the TOPIC_ENTITY 's tracks 's artist ?
531	1131	 what is the recording of TOPIC_ENTITY 's recording ?
496	597	 what is the profession of TOPIC_ENTITY 's people_born_here ?
1299	660	 what is the TOPIC_ENTITY 's versions 's versions ?
1579	322	 what is the contains of TOPIC_ENTITY 's nationality ?
598	1588 585	 what is the TOPIC_ENTITY 's releases 's containedby ?
1079	1192 1342	 what is the TOPIC_ENTITY 's track 's recording ?
1167	1411	 what is the tracks of TOPIC_ENTITY 's tracks ?
1104	945 1534 1733 351	 what is the TOPIC_ENTITY 's athletes 's recording ?
496	597	 what is the TOPIC_ENTITY 's people_born_here 's profession ?
1310	729	 what is the TOPIC_ENTITY 's artist 's album ?
1641	743	 what is the TOPIC_ENTITY 's country 's teams ?
531	1131	 what is the TOPIC_ENTITY 's recording 's recording ?
1646	163	 what is the recording of TOPIC_ENTITY 's netflix_genres ?
1310	729	 what is the album of TOPIC_ENTITY 's artist ?
531	1131	 what is the TOPIC_ENTITY 's recording 's recording ?
1429	995	 what is the recording of TOPIC_ENTITY 's genre ?
1579	322	 what is the contains of TOPIC_ENTITY 's nationality ?
1167	1411 729 378 1572 1648 777 1630 1145 601 202 900	 what is the tracks of TOPIC_ENTITY 's tracks ?
1310	729	 what is the TOPIC_ENTITY 's artist 's album ?
529	1739 639 17 45 184	 what is the notable_types of TOPIC_ENTITY 's place ?
1577	878 998	 what is the tracks of TOPIC_ENTITY 's track_list ?
414	1700 550	 what is the people_born_here of TOPIC_ENTITY 's containedby ?
531	1131	 what is the TOPIC_ENTITY 's recording 's recording ?
125	1128	 what is the TOPIC_ENTITY 's lyricist 's instruments_played ?
1534	945 1733 351 1104	 what is the teams of TOPIC_ENTITY 's athletes ?
1098	729	 what is the TOPIC_ENTITY 's artist 's is_reviewed ?
539	90	 what is the TOPIC_ENTITY 's platform 's games ?
148	57	 what is the recording of TOPIC_ENTITY 's appears_in_topic_gallery ?
1167	1411 452 803 562 727	 what is the TOPIC_ENTITY 's tracks 's tracks ?
531	1131 639 865 285 184	 what is the recording of TOPIC_ENTITY 's recording ?
414	1700 550	 what is the TOPIC_ENTITY 's containedby 's people_born_here ?
547	81 1266	 what is the county of TOPIC_ENTITY 's place_of_birth ?
1167	1411	 what is the TOPIC_ENTITY 's tracks 's tracks ?
448	493	 what is the TOPIC_ENTITY 's organism_type 's works ?
414	1700 550	 what is the TOPIC_ENTITY 's containedby 's people_born_here ?
52	660 302 378 1299 363 1011 1583 83 1789 1444 900	 what is the license of TOPIC_ENTITY 's versions ?
589	892 157	 what is the notable_types of TOPIC_ENTITY 's track ?
1572	1411 729 1167 777 1630	 what is the artist of TOPIC_ENTITY 's tracks ?
1129	519	 what is the album of TOPIC_ENTITY 's art_genre ?
414	1700 550	 what is the TOPIC_ENTITY 's containedby 's people_born_here ?
193	1495	 what is the recorded_as_album of TOPIC_ENTITY 's recorded_as_album ?
1228	1700 639 402	 what is the TOPIC_ENTITY 's containedby 's next_episode ?
299	476	 what is the teams of TOPIC_ENTITY 's region ?
1167	1411	 what is the TOPIC_ENTITY 's tracks 's tracks ?
1310	729	 what is the album of TOPIC_ENTITY 's artist ?
899	322	 what is the TOPIC_ENTITY 's nationality 's teams ?
1769	1345	 what is the TOPIC_ENTITY 's athletes 's olympic_games_contested ?
661	1523	 what is the TOPIC_ENTITY 's country 's recording ?
965	615	 what is the versions of TOPIC_ENTITY 's versions ?
899	322	 what is the TOPIC_ENTITY 's nationality 's teams ?
331	268 729 57 639 918 1343 680 1050 1752 843 1630 581 234 1377 1285 1763 368 1025 336 959 935 1666 184 1539 135 1121 1236 281 1519	 what is the TOPIC_ENTITY 's recordings 's artist ?
251	614	 what is the TOPIC_ENTITY 's country_of_context 's events ?
1618	1166	 what is the notable_types of TOPIC_ENTITY 's award_nominations ?
1731	576	 what is the TOPIC_ENTITY 's genre 's artist ?
531	1131	 what is the recording of TOPIC_ENTITY 's recording ?
1388	1192	 what is the releases of TOPIC_ENTITY 's track ?
1365	476	 what is the tracks of TOPIC_ENTITY 's region ?
1665	154	 what is the TOPIC_ENTITY 's governing_officials 's recording ?
803	1411 452 1167 562 727	 what is the rating of TOPIC_ENTITY 's tracks ?
1590	1411 1131 1167 750 531	 what is the TOPIC_ENTITY 's recording 's tracks ?
414	1700 550	 what is the TOPIC_ENTITY 's containedby 's people_born_here ?
1577	878	 what is the TOPIC_ENTITY 's track_list 's tracks ?
1167	1411 452 803 562 727	 what is the tracks of TOPIC_ENTITY 's tracks ?
559	878 682	 what is the TOPIC_ENTITY 's track_list 's album ?
1731	576	 what is the artist of TOPIC_ENTITY 's genre ?
1452	471 918 1411 1131 1170 1643 782 881 1519 124 1315 86 1438 1167 750 851 602 1590 531	 what is the release of TOPIC_ENTITY 's song ?
491	372	 what is the artist of TOPIC_ENTITY 's main_country ?
1343	268 1411 729 1189 331 235 1167 1572 843 777 1630	 what is the recordings of TOPIC_ENTITY 's recordings ?
1310	729	 what is the album of TOPIC_ENTITY 's artist ?
1717	130	 what is the canonical_version of TOPIC_ENTITY 's canonical_version ?
899	322	 what is the TOPIC_ENTITY 's nationality 's teams ?
531	1745 1131 639 1051 85 1655 1747 865 1371 285 184	 what is the TOPIC_ENTITY 's recording 's recording ?
1452	471 918 1411 1131 1170 1643 782 881 1519 124 1315 86 1438 1167 750 851 602 1590 531	 what is the release of TOPIC_ENTITY 's song ?
1167	1411 729 1572 777 1630	 what is the tracks of TOPIC_ENTITY 's tracks ?
1313	1700	 what is the film_art_direction_by of TOPIC_ENTITY 's containedby ?
1299	660	 what is the versions of TOPIC_ENTITY 's versions ?
1365	476	 what is the TOPIC_ENTITY 's region 's tracks ?
589	892 157	 what is the TOPIC_ENTITY 's track 's notable_types ?
376	1523	 what is the TOPIC_ENTITY 's country 's teams ?
448	493	 what is the works of TOPIC_ENTITY 's organism_type ?
498	1574	 what is the film_casting_director of TOPIC_ENTITY 's titles ?
573	378	 what is the TOPIC_ENTITY 's releases 's release ?
263	1192	 what is the releases of TOPIC_ENTITY 's track ?
1429	995	 what is the recording of TOPIC_ENTITY 's genre ?
1572	1411 729 378 1167 1648 777 1630 1145 601 202 900	 what is the artist of TOPIC_ENTITY 's tracks ?
531	1131	 what is the recording of TOPIC_ENTITY 's recording ?
414	1700 550	 what is the people_born_here of TOPIC_ENTITY 's containedby ?
1769	1345	 what is the TOPIC_ENTITY 's athletes 's olympic_games_contested ?
531	1131	 what is the TOPIC_ENTITY 's recording 's recording ?
141	1165	 what is the TOPIC_ENTITY 's place_of_death 's genre ?
330	1523	 what is the TOPIC_ENTITY 's country 's song ?
754	892 157 259	 what is the TOPIC_ENTITY 's track 's recording ?
385	630	 what is the active_moieties of TOPIC_ENTITY 's active_moieties ?
1662	322	 what is the TOPIC_ENTITY 's nationality 's recording ?
1167	1411 639 1010 1048 184	 what is the TOPIC_ENTITY 's tracks 's tracks ?
539	90	 what is the games of TOPIC_ENTITY 's platform ?
1537	73	 what is the TOPIC_ENTITY 's written_by 's ethnicity ?
368	268 729 57 639 918 1343 331 680 1050 1752 843 1630 581 234 1377 1285 1763 1025 336 959 935 1666 184 1539 135 1121 1236 281 1519	 what is the TOPIC_ENTITY 's appears_in_topic_gallery 's appears_in_topic_gallery ?
1252	1165	 what is the TOPIC_ENTITY 's place_of_death 's notable_types ?
837	322	 what is the TOPIC_ENTITY 's nationality 's events ?
1579	322	 what is the contains of TOPIC_ENTITY 's nationality ?
368	268 729 57 639 918 1343 331 680 1050 1752 843 1630 581 234 1377 1285 1763 1025 336 959 935 1666 184 1539 135 1121 1236 281 1519	 what is the appears_in_topic_gallery of TOPIC_ENTITY 's appears_in_topic_gallery ?
270	130 909 1717 1657 1653	 what is the TOPIC_ENTITY 's album 's album ?
998	878 1577	 what is the TOPIC_ENTITY 's track_list 's recording ?
1769	1345	 what is the TOPIC_ENTITY 's athletes 's olympic_games_contested ?
539	90	 what is the TOPIC_ENTITY 's platform 's games ?
263	1192	 what is the TOPIC_ENTITY 's track 's releases ?
448	493	 what is the TOPIC_ENTITY 's organism_type 's works ?
602	471 918 1411 1131 1170 1452 1643 782 881 1519 124 1315 86 1438 1167 750 851 1590 531	 what is the release of TOPIC_ENTITY 's recording ?
17	1739	 what is the place of TOPIC_ENTITY 's place ?
1432	1027	 what is the TOPIC_ENTITY 's label 's releases ?
331	268 1411 729 1343 1189 235 1167 1572 843 777 1630	 what is the artist of TOPIC_ENTITY 's recordings ?
661	1523	 what is the recording of TOPIC_ENTITY 's country ?
1704	1078	 what is the releases of TOPIC_ENTITY 's art_form ?
1618	1166	 what is the TOPIC_ENTITY 's award_nominations 's notable_types ?
1299	660	 what is the versions of TOPIC_ENTITY 's versions ?
414	1700 550	 what is the TOPIC_ENTITY 's containedby 's people_born_here ?
448	493	 what is the works of TOPIC_ENTITY 's organism_type ?
1365	476	 what is the tracks of TOPIC_ENTITY 's region ?
531	471 918 1411 1131 1170 1452 1643 782 881 1519 124 1315 86 1438 1167 750 851 602 1590	 what is the recording of TOPIC_ENTITY 's recording ?
899	322	 what is the teams of TOPIC_ENTITY 's nationality ?
1167	1411	 what is the tracks of TOPIC_ENTITY 's tracks ?
254	81	 what is the TOPIC_ENTITY 's place_of_birth 's notable_types ?
970	327	 what is the recording of TOPIC_ENTITY 's cvg_genre ?
157	892 259 754	 what is the TOPIC_ENTITY 's track 's release ?
1283	576	 what is the TOPIC_ENTITY 's genre 's recording ?
165	1391	 what is the tracks of TOPIC_ENTITY 's books_published ?
376	1523	 what is the teams of TOPIC_ENTITY 's country ?
661	1523	 what is the recording of TOPIC_ENTITY 's country ?
775	1165	 what is the TOPIC_ENTITY 's place_of_death 's tracks ?
539	90	 what is the TOPIC_ENTITY 's platform 's games ?
1710	878 1675 1338 937 953	 what is the artist of TOPIC_ENTITY 's track_list ?
1193	824	 what is the releases of TOPIC_ENTITY 's releases ?
1763	268 729 57 639 918 1343 331 680 1050 1752 843 1630 581 234 1377 1285 368 1025 336 959 935 1666 184 1539 135 1121 1236 281 1519	 what is the TOPIC_ENTITY 's appears_in_topic_gallery 's artist ?
539	90	 what is the TOPIC_ENTITY 's platform 's games ?
206	1573	 what is the track of TOPIC_ENTITY 's works_written ?
1236	268 729 57 639 918 1343 331 680 1050 1752 843 1630 581 234 1377 1285 1763 368 1025 336 959 935 1666 184 1539 135 1121 281 1519	 what is the TOPIC_ENTITY 's release 's appears_in_topic_gallery ?
1436	1523	 what is the TOPIC_ENTITY 's country 's artist ?
1662	322	 what is the TOPIC_ENTITY 's nationality 's recording ?
547	81 1266	 what is the TOPIC_ENTITY 's place_of_birth 's county ?
414	1700 550	 what is the people_born_here of TOPIC_ENTITY 's containedby ?
1731	576	 what is the artist of TOPIC_ENTITY 's genre ?
1226	1128	 what is the TOPIC_ENTITY 's lyricist 's label ?
414	1700 550	 what is the TOPIC_ENTITY 's containedby 's people_born_here ?
270	909	 what is the TOPIC_ENTITY 's album 's album ?
1717	130 909 1657 1653 270	 what is the TOPIC_ENTITY 's canonical_version 's canonical_version ?
448	493	 what is the works of TOPIC_ENTITY 's organism_type ?
1167	1411	 what is the tracks of TOPIC_ENTITY 's tracks ?
1530	643	 what is the TOPIC_ENTITY 's artist 's gender ?
414	1700 550	 what is the people_born_here of TOPIC_ENTITY 's containedby ?
1343	268 1411 729 1189 331 235 1167 1572 843 777 1630	 what is the TOPIC_ENTITY 's recordings 's recordings ?
931	287	 what is the TOPIC_ENTITY 's subjects 's teams ?
1270	574	 what is the TOPIC_ENTITY 's profession 's notable_types ?
1307	483 321 853 671 516	 what is the TOPIC_ENTITY 's split_to 's split_to ?
315	322	 what is the artist of TOPIC_ENTITY 's nationality ?
529	1739 639 17 45 184	 what is the TOPIC_ENTITY 's place 's notable_types ?
1586	1499 1521	 what is the recording of TOPIC_ENTITY 's colors ?
1098	729	 what is the is_reviewed of TOPIC_ENTITY 's artist ?
253	878 937	 what is the author of TOPIC_ENTITY 's track_list ?
766	518	 what is the TOPIC_ENTITY 's editions 's editions ?
584	463	 what is the releases of TOPIC_ENTITY 's art_forms ?
414	1700 550	 what is the people_born_here of TOPIC_ENTITY 's containedby ?
448	493	 what is the TOPIC_ENTITY 's organism_type 's works ?
531	1131 729 120 1781 1630	 what is the recording of TOPIC_ENTITY 's recording ?
1323	322	 what is the TOPIC_ENTITY 's nationality 's tracks ?
157	892 589	 what is the TOPIC_ENTITY 's track 's release ?
661	1523	 what is the recording of TOPIC_ENTITY 's country ?
448	493	 what is the TOPIC_ENTITY 's organism_type 's works ?
122	396	 what is the TOPIC_ENTITY 's compositions 's compositions ?
1731	576	 what is the artist of TOPIC_ENTITY 's genre ?
456	322	 what is the TOPIC_ENTITY 's nationality 's art_form ?
1167	1411	 what is the tracks of TOPIC_ENTITY 's tracks ?
661	1523	 what is the TOPIC_ENTITY 's country 's recording ?
1342	1192	 what is the TOPIC_ENTITY 's track 's release ?
1662	322	 what is the recording of TOPIC_ENTITY 's nationality ?
960	1737	 what is the TOPIC_ENTITY 's episodes_directed 's series ?
17	1739	 what is the TOPIC_ENTITY 's place 's place ?
550	1700	 what is the recording of TOPIC_ENTITY 's containedby ?
414	1700 550	 what is the TOPIC_ENTITY 's containedby 's people_born_here ?
1662	322	 what is the TOPIC_ENTITY 's nationality 's recording ?
125	1128	 what is the instruments_played of TOPIC_ENTITY 's lyricist ?
531	1131 639 865 285 184	 what is the TOPIC_ENTITY 's recording 's recording ?
865	1131 639 531 285 184	 what is the TOPIC_ENTITY 's recording 's notable_types ?
1377	729	 what is the release of TOPIC_ENTITY 's artist ?
899	322	 what is the TOPIC_ENTITY 's nationality 's teams ?
1129	519	 what is the TOPIC_ENTITY 's art_genre 's album ?
448	493	 what is the works of TOPIC_ENTITY 's organism_type ?
984	878	 what is the track_list of TOPIC_ENTITY 's track_list ?
414	1700 550	 what is the TOPIC_ENTITY 's containedby 's people_born_here ?
253	878 937	 what is the TOPIC_ENTITY 's track_list 's author ?
