1586	1499 1521	 what is the recording of TOPIC_ENTITY 's colors ?
1342	1192	 what is the TOPIC_ENTITY 's track 's release ?
547	81 1266	 what is the county of TOPIC_ENTITY 's place_of_birth ?
1572	1411 729 1167 777 1630	 what is the artist of TOPIC_ENTITY 's tracks ?
1572	1411 729 378 1167 1648 777 1630 1145 601 202 900	 what is the artist of TOPIC_ENTITY 's tracks ?
1704	1078	 what is the TOPIC_ENTITY 's art_form 's releases ?
17	1739	 what is the TOPIC_ENTITY 's place 's place ?
184	639	 what is the TOPIC_ENTITY 's notable_types 's notable_types ?
414	1700 550	 what is the TOPIC_ENTITY 's containedby 's people_born_here ?
1226	1128	 what is the TOPIC_ENTITY 's lyricist 's label ?
953	878 105 1577 998	 what is the TOPIC_ENTITY 's track_list 's release ?
531	1131	 what is the recording of TOPIC_ENTITY 's recording ?
1662	322	 what is the recording of TOPIC_ENTITY 's nationality ?
543	1192	 what is the artist of TOPIC_ENTITY 's track ?
1530	643	 what is the gender of TOPIC_ENTITY 's artist ?
598	1588 585	 what is the containedby of TOPIC_ENTITY 's releases ?
775	1165	 what is the tracks of TOPIC_ENTITY 's place_of_death ?
1167	471 918 1411 1131 1170 1452 1643 782 881 1519 124 1315 86 1438 750 851 602 1590 531	 what is the tracks of TOPIC_ENTITY 's tracks ?
1373	1200	 what is the TOPIC_ENTITY 's related_type 's related_type ?
531	1131	 what is the recording of TOPIC_ENTITY 's recording ?
1026	1229	 what is the active_moiety_of_drug of TOPIC_ENTITY 's active_moiety_of_drug ?
1244	296	 what is the TOPIC_ENTITY 's award_nominations 's award_nominations ?
1270	574	 what is the notable_types of TOPIC_ENTITY 's profession ?
1776	1700	 what is the TOPIC_ENTITY 's containedby 's hud_county_place ?
331	268 729 57 639 918 1343 680 1050 1752 843 1630 581 234 1377 1285 1763 368 1025 336 959 935 1666 184 1539 135 1121 1236 281 1519	 what is the TOPIC_ENTITY 's recordings 's artist ?
960	1737	 what is the TOPIC_ENTITY 's episodes_directed 's series ?
414	1700 550	 what is the people_born_here of TOPIC_ENTITY 's containedby ?
531	1131	 what is the TOPIC_ENTITY 's recording 's recording ?
414	1700 550	 what is the TOPIC_ENTITY 's containedby 's people_born_here ?
1310	729	 what is the TOPIC_ENTITY 's artist 's album ?
584	463	 what is the releases of TOPIC_ENTITY 's art_forms ?
899	322	 what is the teams of TOPIC_ENTITY 's nationality ?
123	471 918 1411 1131 479 64 1110 177 809 928 1753 204 1425 169 522	 what is the TOPIC_ENTITY 's release 's track ?
1590	1411 1131 1167 750 531	 what is the tracks of TOPIC_ENTITY 's recording ?
531	1131	 what is the TOPIC_ENTITY 's recording 's recording ?
1270	574	 what is the notable_types of TOPIC_ENTITY 's profession ?
414	1700 550	 what is the people_born_here of TOPIC_ENTITY 's containedby ?
243	81	 what is the canonical_version of TOPIC_ENTITY 's place_of_birth ?
448	493	 what is the works of TOPIC_ENTITY 's organism_type ?
1167	1411	 what is the tracks of TOPIC_ENTITY 's tracks ?
1704	1078	 what is the releases of TOPIC_ENTITY 's art_form ?
899	322	 what is the TOPIC_ENTITY 's nationality 's teams ?
585	1588 598	 what is the TOPIC_ENTITY 's releases 's recording ?
775	1165	 what is the TOPIC_ENTITY 's place_of_death 's tracks ?
1323	322	 what is the TOPIC_ENTITY 's nationality 's tracks ?
1579	322	 what is the contains of TOPIC_ENTITY 's nationality ?
531	1131	 what is the recording of TOPIC_ENTITY 's recording ?
219	892 596 157	 what is the TOPIC_ENTITY 's track 's artist ?
602	918 1131 1519 1315 531	 what is the TOPIC_ENTITY 's recording 's release ?
550	1700	 what is the TOPIC_ENTITY 's containedby 's recording ?
259	892 157 754	 what is the TOPIC_ENTITY 's track 's tracks ?
960	1737	 what is the series of TOPIC_ENTITY 's episodes_directed ?
539	90	 what is the TOPIC_ENTITY 's platform 's games ?
1228	1700	 what is the next_episode of TOPIC_ENTITY 's containedby ?
1746	322	 what is the song of TOPIC_ENTITY 's nationality ?
1010	1411 639 1167 1048 184	 what is the notable_types of TOPIC_ENTITY 's tracks ?
1167	1411	 what is the tracks of TOPIC_ENTITY 's tracks ?
192	1700	 what is the TOPIC_ENTITY 's containedby 's notable_types ?
1429	995	 what is the recording of TOPIC_ENTITY 's genre ?
975	1645 1411 734 222 1167	 what is the TOPIC_ENTITY 's tracks 's film_production_design_by ?
1657	130 909 1717 1653 270	 what is the TOPIC_ENTITY 's canonical_version 's album ?
531	1131	 what is the TOPIC_ENTITY 's recording 's recording ?
672	81 243	 what is the appears_in_topic_gallery of TOPIC_ENTITY 's place_of_birth ?
270	909	 what is the TOPIC_ENTITY 's album 's album ?
1343	268 1411 729 1189 331 235 1167 1572 843 777 1630	 what is the recordings of TOPIC_ENTITY 's recordings ?
414	1700 550	 what is the TOPIC_ENTITY 's containedby 's people_born_here ?
1167	1411	 what is the tracks of TOPIC_ENTITY 's tracks ?
448	493	 what is the TOPIC_ENTITY 's organism_type 's works ?
539	90	 what is the games of TOPIC_ENTITY 's platform ?
1534	945 1733 351 1104	 what is the teams of TOPIC_ENTITY 's athletes ?
529	1739 639 17 45 184	 what is the notable_types of TOPIC_ENTITY 's place ?
414	1700 550	 what is the people_born_here of TOPIC_ENTITY 's containedby ?
1299	660	 what is the versions of TOPIC_ENTITY 's versions ?
953	878	 what is the TOPIC_ENTITY 's track_list 's release ?
1590	1411 1131 1167 750 531	 what is the tracks of TOPIC_ENTITY 's recording ?
1313	1700	 what is the TOPIC_ENTITY 's containedby 's film_art_direction_by ?
1167	1411 1131 750 1590 531	 what is the tracks of TOPIC_ENTITY 's tracks ?
367	1639	 what is the TOPIC_ENTITY 's primary_release 's primary_release ?
