866	751	 what is the notable_types of TOPIC_ENTITY 's film ?
866	751	 what is the TOPIC_ENTITY 's film 's notable_types ?
823	101 68	 what is the tracks of TOPIC_ENTITY 's tracks ?
823	101 68	 what is the TOPIC_ENTITY 's tracks 's tracks ?
831	377	 what is the gender of TOPIC_ENTITY 's artist ?
831	377	 what is the TOPIC_ENTITY 's artist 's gender ?
675	320	 what is the notable_types of TOPIC_ENTITY 's place_of_birth ?
675	320	 what is the TOPIC_ENTITY 's place_of_birth 's notable_types ?
431	812 491	 what is the recording of TOPIC_ENTITY 's recording ?
431	812 491	 what is the TOPIC_ENTITY 's recording 's recording ?
431	812 491	 what is the recording of TOPIC_ENTITY 's recording ?
431	812 491	 what is the TOPIC_ENTITY 's recording 's recording ?
401	79 813	 what is the next_episode of TOPIC_ENTITY 's containedby ?
401	79 813	 what is the TOPIC_ENTITY 's containedby 's next_episode ?
836	315 79	 what is the recording of TOPIC_ENTITY 's containedby ?
836	315 79	 what is the TOPIC_ENTITY 's containedby 's recording ?
321	474 750	 what is the tracks of TOPIC_ENTITY 's place_of_death ?
321	474 750	 what is the TOPIC_ENTITY 's place_of_death 's tracks ?
83	272 100	 what is the tracks of TOPIC_ENTITY 's netflix_genres ?
83	272 100	 what is the TOPIC_ENTITY 's netflix_genres 's tracks ?
589	341	 what is the releases of TOPIC_ENTITY 's track_list ?
589	341	 what is the TOPIC_ENTITY 's track_list 's releases ?
823	49 2 431 493 155 333 599 206 157 54 776 708 116 554 713 652 606 216 502 281 63 504 658 17 68 843 290 846 455 662 294 730 170 732 729 21 574 131 305 242 530 797 627 362 745 477 748 683 188 635 686 256 258 322 144 101 102 424 812 876 108 766 491	 what is the tracks of TOPIC_ENTITY 's tracks ?
823	49 2 431 493 155 333 599 206 157 54 776 708 116 554 713 652 606 216 502 281 63 504 658 17 68 843 290 846 455 662 294 730 170 732 729 21 574 131 305 242 530 797 627 362 745 477 748 683 188 635 686 256 258 322 144 101 102 424 812 876 108 766 491	 what is the TOPIC_ENTITY 's tracks 's tracks ?
599	49 2 431 493 155 333 206 157 54 823 776 708 116 554 713 652 606 216 502 281 63 504 658 17 68 843 290 846 455 662 294 730 170 732 729 21 574 131 305 242 530 797 627 362 745 477 748 683 188 635 686 256 258 322 144 101 102 424 812 876 108 766 491	 what is the song of TOPIC_ENTITY 's tracks ?
599	49 2 431 493 155 333 206 157 54 823 776 708 116 554 713 652 606 216 502 281 63 504 658 17 68 843 290 846 455 662 294 730 170 732 729 21 574 131 305 242 530 797 627 362 745 477 748 683 188 635 686 256 258 322 144 101 102 424 812 876 108 766 491	 what is the TOPIC_ENTITY 's tracks 's song ?
157	49 2 431 493 155 333 599 206 54 823 776 708 116 554 713 652 606 216 502 281 63 504 658 17 68 843 290 846 455 662 294 730 170 732 729 21 574 131 305 242 530 797 627 362 745 477 748 683 188 635 686 256 258 322 144 101 102 424 812 876 108 766 491	 what is the release of TOPIC_ENTITY 's tracks ?
157	49 2 431 493 155 333 599 206 54 823 776 708 116 554 713 652 606 216 502 281 63 504 658 17 68 843 290 846 455 662 294 730 170 732 729 21 574 131 305 242 530 797 627 362 745 477 748 683 188 635 686 256 258 322 144 101 102 424 812 876 108 766 491	 what is the TOPIC_ENTITY 's tracks 's release ?
708	49 2 431 493 155 333 599 206 157 54 823 776 116 554 713 652 606 216 502 281 63 504 658 17 68 843 290 846 455 662 294 730 170 732 729 21 574 131 305 242 530 797 627 362 745 477 748 683 188 635 686 256 258 322 144 101 102 424 812 876 108 766 491	 what is the recording of TOPIC_ENTITY 's tracks ?
708	49 2 431 493 155 333 599 206 157 54 823 776 116 554 713 652 606 216 502 281 63 504 658 17 68 843 290 846 455 662 294 730 170 732 729 21 574 131 305 242 530 797 627 362 745 477 748 683 188 635 686 256 258 322 144 101 102 424 812 876 108 766 491	 what is the TOPIC_ENTITY 's tracks 's recording ?
157	49 2 431 493 155 333 599 206 54 823 776 708 116 554 713 652 606 216 502 281 63 504 658 17 68 843 290 846 455 662 294 730 170 732 729 21 574 131 305 242 530 797 627 362 745 477 748 683 188 635 686 256 258 322 144 101 102 424 812 876 108 766 491	 what is the release of TOPIC_ENTITY 's tracks ?
157	49 2 431 493 155 333 599 206 54 823 776 708 116 554 713 652 606 216 502 281 63 504 658 17 68 843 290 846 455 662 294 730 170 732 729 21 574 131 305 242 530 797 627 362 745 477 748 683 188 635 686 256 258 322 144 101 102 424 812 876 108 766 491	 what is the TOPIC_ENTITY 's tracks 's release ?
305	49 2 431 493 155 333 599 206 157 54 823 776 708 116 554 713 652 606 216 502 281 63 504 658 17 68 843 290 846 455 662 294 730 170 732 729 21 574 131 242 530 797 627 362 745 477 748 683 188 635 686 256 258 322 144 101 102 424 812 876 108 766 491	 what is the tracks of TOPIC_ENTITY 's song ?
305	49 2 431 493 155 333 599 206 157 54 823 776 708 116 554 713 652 606 216 502 281 63 504 658 17 68 843 290 846 455 662 294 730 170 732 729 21 574 131 242 530 797 627 362 745 477 748 683 188 635 686 256 258 322 144 101 102 424 812 876 108 766 491	 what is the TOPIC_ENTITY 's song 's tracks ?
424	49 2 431 493 155 333 599 206 157 54 823 776 708 116 554 713 652 606 216 502 281 63 504 658 17 68 843 290 846 455 662 294 730 170 732 729 21 574 131 305 242 530 797 627 362 745 477 748 683 188 635 686 256 258 322 144 101 102 812 876 108 766 491	 what is the song of TOPIC_ENTITY 's song ?
